,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
weissbo01 1971,Bob Weiss,1966,1977,6-2,180,28,CHI,NBA,PG,7,,35.7,6.0,13.1,.457,,,,,,,,3.7,4.3,.867,,,2.6,8.1,,,,2.7,15.7
weissbo01 1972,Bob Weiss,1966,1977,6-2,180,29,CHI,NBA,PG,4,,29.8,6.0,12.3,.490,,,,,,,,1.8,2.0,.875,,,3.3,3.0,,,,3.8,13.8
weissbo01 1973,Bob Weiss,1966,1977,6-2,180,30,CHI,NBA,PG,7,,25.0,4.9,11.3,.430,,,,,,,,2.3,3.0,.762,,,2.3,2.1,,,,2.9,12.0
weissbo01 1974,Bob Weiss,1966,1977,6-2,180,31,CHI,NBA,SG,11,,22.8,2.1,6.7,.311,,,,,,,,0.5,0.5,1.000,0.5,1.4,1.8,2.9,0.6,0.1,,1.8,4.7
weissbo01 1975,Bob Weiss,1966,1977,6-2,180,32,BUF,NBA,PG,7,,16.1,1.6,3.3,.478,,,,,,,,1.1,1.7,.667,0.3,0.7,1.0,2.4,0.6,0.1,,2.1,4.3
weissbo01 1976,Bob Weiss,1966,1977,6-2,180,33,BUF,NBA,PG,7,,5.1,0.4,1.1,.375,,,,,,,,0.3,0.4,.667,0.0,0.6,0.6,0.4,0.3,0.0,,0.7,1.1
weissbo01 1977,Bob Weiss,1966,1977,6-2,180,34,WSB,NBA,PG,4,,8.5,0.8,1.3,.600,,,,,,,,0.0,0.3,.000,0.3,0.5,0.8,0.5,0.3,0.0,,1.3,1.5
welscji01 2004,Jiří Welsch,2003,2006,6-7,208,24,BOS,NBA,SG,4,4,26.0,2.8,5.8,.478,0.3,1.0,.250,2.5,4.8,.526,.500,2.3,2.3,1.000,0.0,3.0,3.0,2.3,0.5,0.0,2.0,1.8,8.0
welscji01 2006,Jiří Welsch,2003,2006,6-7,208,26,MIL,NBA,SF,4,0,3.8,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.8,1.0,.750,0.0,0.8,0.8,0.5,0.3,0.0,0.0,0.3,1.8
weitzri01 1968,Rick Weitzman,1968,1968,6-2,175,21,BOS,NBA,SG,3,,1.7,0.7,1.0,.667,,,,,,,,0.0,0.0,,,,0.3,0.3,,,,0.0,1.3
wellsbo01 2000,Bonzi Wells,1999,2008,6-5,210,23,POR,NBA,SF,14,0,13.4,2.6,5.9,.446,0.1,0.7,.200,2.5,5.2,.479,.458,2.1,2.9,.707,0.9,1.6,2.5,0.9,0.5,0.0,1.1,2.4,7.5
wellsbo01 2002,Bonzi Wells,1999,2008,6-5,210,25,POR,NBA,SG,3,3,35.3,4.7,12.7,.368,0.0,2.3,.000,4.7,10.3,.452,.368,3.0,4.3,.692,1.3,2.7,4.0,4.3,2.0,0.3,3.7,3.7,12.3
wellsbo01 2003,Bonzi Wells,1999,2008,6-5,210,26,POR,NBA,SG,7,7,38.3,7.0,17.7,.395,1.3,4.3,.300,5.7,13.4,.426,.431,3.7,5.6,.667,2.0,4.9,6.9,3.7,2.1,0.4,3.0,4.3,19.0
wellsbo01 2004,Bonzi Wells,1999,2008,6-5,210,27,MEM,NBA,SG,4,0,23.5,4.8,9.3,.514,0.0,0.3,.000,4.8,9.0,.528,.514,2.3,3.5,.643,0.5,2.5,3.0,1.0,1.0,0.3,2.3,2.0,11.8
wellsbo01 2005,Bonzi Wells,1999,2008,6-5,210,28,MEM,NBA,SG,2,0,12.5,2.0,4.5,.444,0.0,0.0,,2.0,4.5,.444,.444,3.0,3.0,1.000,0.0,2.0,2.0,1.5,1.0,0.5,0.5,0.5,7.0
wellsbo01 2006,Bonzi Wells,1999,2008,6-5,210,29,SAC,NBA,SG,6,6,41.5,8.8,14.5,.609,0.8,1.3,.625,8.0,13.2,.608,.638,4.7,7.2,.651,4.2,7.8,12.0,1.3,0.8,0.3,3.0,4.2,23.2
wellsbo01 2008,Bonzi Wells,1999,2008,6-5,210,31,NOH,NBA,SG,12,0,14.2,1.8,4.8,.386,0.0,0.2,.000,1.8,4.6,.400,.386,0.0,0.5,.000,0.3,2.3,2.6,0.7,0.3,0.3,0.5,2.2,3.7
wennibi01 1986,Bill Wennington,1986,2000,7-0,245,22,DAL,NBA,C,6,0,3.0,0.3,1.0,.333,0.2,0.2,1.000,0.2,0.8,.200,.417,0.3,0.3,1.000,0.7,0.2,0.8,0.0,0.0,0.0,0.0,0.7,1.2
wennibi01 1987,Bill Wennington,1986,2000,7-0,245,23,DAL,NBA,C,4,0,11.8,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.8,1.3,.600,1.0,1.5,2.5,1.0,0.0,0.8,0.8,2.3,3.8
wennibi01 1988,Bill Wennington,1986,2000,7-0,245,24,DAL,NBA,C,6,0,2.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.5,0.2,0.7,0.2,0.2,0.0,0.2,0.8,0.0
wennibi01 1990,Bill Wennington,1986,2000,7-0,245,26,DAL,NBA,C,3,0,8.3,0.3,1.7,.200,0.0,0.0,,0.3,1.7,.200,.200,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.7,1.7,0.7
wennibi01 1994,Bill Wennington,1986,2000,7-0,245,30,CHI,NBA,C,7,0,6.7,0.4,0.9,.500,0.0,0.0,,0.4,0.9,.500,.500,0.3,0.4,.667,0.6,0.4,1.0,0.6,0.0,0.1,0.1,2.0,1.1
wennibi01 1995,Bill Wennington,1986,2000,7-0,245,31,CHI,NBA,C,10,0,13.3,2.1,5.1,.412,0.0,0.0,,2.1,5.1,.412,.412,0.6,0.6,1.000,1.2,1.6,2.8,0.3,0.3,0.3,0.8,3.2,4.8
wennibi01 1996,Bill Wennington,1986,2000,7-0,245,32,CHI,NBA,C,18,0,9.4,1.4,2.8,.520,0.0,0.1,.000,1.4,2.7,.531,.520,0.1,0.2,.500,0.6,1.1,1.7,0.5,0.2,0.1,0.3,1.7,3.0
wennibi01 1998,Bill Wennington,1986,2000,7-0,245,34,CHI,NBA,C,16,0,7.4,1.3,2.4,.526,0.0,0.0,,1.3,2.4,.526,.526,0.3,0.5,.500,0.2,0.7,0.9,0.2,0.4,0.1,0.5,1.4,2.8
wertira01 1947,Ray Wertis,1947,1948,5-11,,23,CLR,BAA,,3,,,2.0,8.7,.231,,,,,,,,1.3,1.7,.800,,,,2.0,,,,2.0,5.3
weslewa01 1967,Walt Wesley,1967,1976,6-11,220,22,CIN,NBA,C,3,,7.7,0.7,3.3,.200,,,,,,,,0.0,0.0,,,,3.0,0.0,,,,2.3,1.3
weslewa01 1970,Walt Wesley,1967,1976,6-11,220,25,CHI,NBA,C,4,,14.8,4.0,7.8,.516,,,,,,,,1.5,3.0,.500,,,4.8,0.5,,,,2.3,9.5
weslewa01 1974,Walt Wesley,1967,1976,6-11,220,29,CAP,NBA,C,1,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
wesleda01 1994,David Wesley,1994,2007,6-0,190,23,NJN,NBA,PG,3,0,6.0,1.0,2.3,.429,0.3,1.3,.250,0.7,1.0,.667,.500,0.7,0.7,1.000,0.0,0.0,0.0,1.0,0.7,0.0,1.3,0.0,3.0
wesleda01 1998,David Wesley,1994,2007,6-0,190,27,CHH,NBA,PG,9,9,31.7,3.7,9.2,.398,1.0,2.3,.429,2.7,6.9,.387,.452,1.7,2.3,.714,0.6,1.4,2.0,6.7,0.8,0.0,2.1,2.8,10.0
wesleda01 2000,David Wesley,1994,2007,6-0,190,29,CHH,NBA,PG,4,4,38.0,4.0,12.0,.333,0.8,2.5,.300,3.3,9.5,.342,.365,2.3,2.3,1.000,0.8,2.3,3.0,4.8,2.0,0.0,1.5,4.3,11.0
wesleda01 2001,David Wesley,1994,2007,6-0,190,30,CHH,NBA,SG,10,10,39.4,6.3,13.4,.470,1.3,3.3,.394,5.0,10.1,.495,.519,3.1,4.1,.756,0.4,2.6,3.0,3.9,1.6,0.1,1.4,2.8,17.0
wesleda01 2002,David Wesley,1994,2007,6-0,190,31,CHH,NBA,SG,9,9,41.9,5.8,14.3,.403,1.9,4.2,.447,3.9,10.1,.385,.469,2.3,2.6,.913,0.3,1.6,1.9,3.4,1.1,0.2,2.3,3.3,15.8
wesleda01 2003,David Wesley,1994,2007,6-0,190,32,NOH,NBA,SG,6,6,30.8,4.8,12.0,.403,2.3,5.7,.412,2.5,6.3,.395,.500,1.2,1.2,1.000,0.2,1.0,1.2,2.2,0.8,0.2,2.5,3.8,13.2
wesleda01 2004,David Wesley,1994,2007,6-0,190,33,NOH,NBA,SG,7,7,34.7,3.4,10.6,.324,1.6,4.3,.367,1.9,6.3,.295,.399,2.1,3.0,.714,0.1,2.1,2.3,2.4,0.7,0.0,2.3,3.0,10.6
wesleda01 2005,David Wesley,1994,2007,6-0,190,34,HOU,NBA,SG,7,7,40.0,2.7,7.7,.352,1.4,3.0,.476,1.3,4.7,.273,.444,1.3,1.9,.692,0.6,2.4,3.0,3.3,1.3,0.1,1.3,2.9,8.1
westma02 2008,Mario West,2008,2011,6-5,210,23,ATL,NBA,SG,6,0,1.0,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.0,0.2,.000,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.3
westma02 2009,Mario West,2008,2011,6-5,210,24,ATL,NBA,SG,11,0,4.2,0.2,0.9,.200,0.0,0.1,.000,0.2,0.8,.222,.200,0.1,0.4,.250,0.0,0.5,0.5,0.2,0.2,0.0,0.1,0.2,0.5
westma02 2010,Mario West,2008,2011,6-5,210,25,ATL,NBA,SG,7,0,2.9,0.4,0.6,.750,0.0,0.1,.000,0.4,0.4,1.000,.750,0.0,0.0,,0.1,0.1,0.3,0.1,0.1,0.0,0.0,1.0,0.9
westdo01 1997,Doug West,1990,2001,6-6,200,29,MIN,NBA,SG,3,3,29.0,4.0,7.3,.545,0.0,0.7,.000,4.0,6.7,.600,.545,3.0,3.0,1.000,0.0,1.3,1.3,2.0,0.7,0.3,0.3,3.7,11.0
westde01 2005,Delonte West,2005,2012,6-4,180,21,BOS,NBA,SG,7,3,16.4,1.6,3.0,.524,0.7,1.6,.455,0.9,1.4,.600,.643,0.3,0.6,.500,0.3,1.0,1.3,0.6,1.0,0.1,0.3,2.4,4.1
westde01 2008,Delonte West,2005,2012,6-4,180,24,CLE,NBA,PG,13,13,34.8,3.4,8.5,.400,1.4,3.2,.429,2.0,5.2,.382,.482,2.7,3.2,.854,0.6,2.7,3.3,4.2,1.2,0.5,2.5,3.1,10.8
westde01 2009,Delonte West,2005,2012,6-4,180,25,CLE,NBA,SG,14,14,42.2,5.2,11.2,.465,0.9,2.6,.333,4.4,8.6,.504,.503,2.5,3.0,.833,0.4,3.1,3.5,4.1,1.4,0.5,2.4,2.0,13.8
westde01 2010,Delonte West,2005,2012,6-4,180,26,CLE,NBA,SG,11,0,24.5,2.5,6.1,.418,0.3,1.7,.158,2.3,4.4,.521,.440,1.4,1.5,.938,0.5,1.4,1.9,2.6,0.8,0.3,1.7,1.5,6.7
westde01 2011,Delonte West,2005,2012,6-4,180,27,BOS,NBA,PG,9,0,18.9,2.4,5.2,.468,0.8,2.1,.368,1.7,3.1,.536,.543,0.9,1.1,.800,0.4,1.4,1.9,1.3,0.6,0.0,1.3,1.8,6.6
westde01 2012,Delonte West,2005,2012,6-4,180,28,DAL,NBA,PG,4,3,22.0,2.8,6.5,.423,0.8,1.5,.500,2.0,5.0,.400,.481,1.3,1.3,1.000,0.5,1.3,1.8,2.0,0.8,0.0,0.8,1.3,7.5
westda01 2004,David West,2004,2018,6-9,250,23,NOH,NBA,PF,7,0,15.9,2.1,4.0,.536,0.0,0.0,,2.1,4.0,.536,.536,1.6,1.9,.846,1.1,3.1,4.3,1.1,0.3,0.6,1.0,1.4,5.9
westda01 2008,David West,2004,2018,6-9,250,27,NOH,NBA,PF,12,12,40.4,8.5,18.3,.466,0.1,0.2,.500,8.4,18.1,.465,.468,4.1,4.6,.891,1.8,6.8,8.5,2.8,1.1,1.9,1.8,2.7,21.2
westda01 2009,David West,2004,2018,6-9,250,28,NOH,NBA,PF,5,5,35.6,6.4,16.0,.400,0.0,0.0,,6.4,16.0,.400,.400,5.2,5.8,.897,1.0,6.4,7.4,1.2,1.0,0.4,2.8,3.8,18.0
westda01 2012,David West,2004,2018,6-9,250,31,IND,NBA,PF,11,11,37.8,6.0,13.5,.446,0.0,0.0,,6.0,13.5,.446,.446,3.3,4.0,.818,1.9,6.6,8.5,2.0,0.7,0.5,1.5,3.0,15.3
westda01 2013,David West,2004,2018,6-9,250,32,IND,NBA,PF,19,19,36.3,6.1,13.1,.462,0.0,0.2,.000,6.1,12.9,.467,.462,3.8,4.9,.766,2.2,5.4,7.6,2.1,0.7,0.8,2.4,2.8,15.9
westda01 2014,David West,2004,2018,6-9,250,33,IND,NBA,PF,19,19,36.2,6.4,12.9,.494,0.1,0.5,.200,6.3,12.4,.506,.498,2.3,3.2,.705,1.3,5.5,6.7,3.9,0.7,0.8,2.3,3.0,15.1
westda01 2016,David West,2004,2018,6-9,250,35,SAS,NBA,PF,10,0,17.6,2.5,5.5,.455,0.3,0.6,.500,2.2,4.9,.449,.482,0.5,0.9,.556,1.3,2.4,3.7,1.3,0.6,0.7,0.7,1.9,5.8
westda01 2017,David West,2004,2018,6-9,250,36,GSW,NBA,C,17,0,13.0,2.0,3.5,.576,0.1,0.1,.500,1.9,3.4,.579,.585,0.4,0.5,.778,0.4,2.3,2.7,2.1,0.4,0.8,0.6,1.5,4.5
westda01 2018,David West,2004,2018,6-9,250,37,GSW,NBA,C,18,0,9.7,1.5,2.5,.600,0.1,0.1,.500,1.4,2.4,.605,.611,0.2,0.2,1.000,0.6,1.4,2.1,1.8,0.3,0.6,0.6,1.3,3.3
westje01 1961,Jerry West,1961,1974,6-3,175,22,LAL,NBA,PG,12,,38.4,8.3,16.8,.490,,,,,,,,6.4,8.8,.726,,,8.7,5.3,,,,3.3,22.9
westje01 1962,Jerry West,1961,1974,6-3,175,23,LAL,NBA,PG,13,,42.8,11.1,23.8,.465,,,,,,,,9.3,11.5,.807,,,6.8,4.4,,,,2.9,31.5
westje01 1963,Jerry West,1961,1974,6-3,175,24,LAL,NBA,PG,13,,41.4,11.1,22.0,.503,,,,,,,,5.7,7.7,.740,,,8.2,4.7,,,,2.6,27.8
westje01 1964,Jerry West,1961,1974,6-3,175,25,LAL,NBA,PG,5,,41.2,11.4,23.0,.496,,,,,,,,8.4,10.6,.792,,,7.2,3.4,,,,4.0,31.2
westje01 1965,Jerry West,1961,1974,6-3,175,26,LAL,NBA,PG,11,,42.7,14.1,31.9,.442,,,,,,,,12.5,14.0,.890,,,5.7,5.3,,,,3.4,40.6
westje01 1966,Jerry West,1961,1974,6-3,175,27,LAL,NBA,PG,14,,44.2,13.2,25.5,.518,,,,,,,,7.8,8.9,.872,,,6.3,5.6,,,,2.9,34.2
westje01 1967,Jerry West,1961,1974,6-3,175,28,LAL,NBA,PG,1,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,1.0,0.0,,,,0.0,0.0
westje01 1968,Jerry West,1961,1974,6-3,175,29,LAL,NBA,SG,15,,41.5,11.0,20.9,.527,,,,,,,,8.8,11.3,.781,,,5.4,5.5,,,,3.1,30.8
westje01 1969,Jerry West,1961,1974,6-3,175,30,LAL,NBA,SG,18,,42.1,10.9,23.5,.463,,,,,,,,9.1,11.3,.804,,,3.9,7.5,,,,2.9,30.9
westje01 1970,Jerry West,1961,1974,6-3,175,31,LAL,NBA,PG,18,,46.1,10.9,23.2,.469,,,,,,,,9.4,11.8,.802,,,3.7,8.4,,,,3.1,31.2
westje01 1972,Jerry West,1961,1974,6-3,175,33,LAL,NBA,PG,15,,40.5,8.5,22.7,.376,,,,,,,,5.9,7.1,.830,,,4.9,8.9,,,,2.6,22.9
westje01 1973,Jerry West,1961,1974,6-3,175,34,LAL,NBA,PG,17,,37.5,8.9,19.8,.449,,,,,,,,5.8,7.5,.780,,,4.5,7.8,,,,2.9,23.6
westje01 1974,Jerry West,1961,1974,6-3,175,35,LAL,NBA,PG,1,,14.0,2.0,9.0,.222,,,,,,,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,,1.0,4.0
westma01 1984,Mark West,1984,2000,6-10,230,23,DAL,NBA,C,4,,8.0,1.3,2.3,.556,0.0,0.0,,1.3,2.3,.556,.556,0.5,0.8,.667,0.0,1.8,1.8,0.8,0.0,0.8,0.8,2.8,3.0
westma01 1985,Mark West,1984,2000,6-10,230,24,CLE,NBA,C,4,4,17.0,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.5,1.3,.400,1.3,3.3,4.5,1.0,0.5,0.0,1.3,4.8,2.0
westma01 1989,Mark West,1984,2000,6-10,230,28,PHO,NBA,C,12,12,18.9,2.7,4.2,.640,0.0,0.0,,2.7,4.2,.640,.640,0.8,1.2,.714,1.8,2.7,4.4,0.5,0.6,1.6,1.1,3.0,6.2
westma01 1990,Mark West,1984,2000,6-10,230,29,PHO,NBA,C,16,16,34.0,4.7,8.1,.577,0.0,0.0,,4.7,8.1,.577,.577,1.7,3.1,.540,3.3,6.9,10.3,0.3,0.3,2.6,1.6,4.6,11.1
westma01 1991,Mark West,1984,2000,6-10,230,30,PHO,NBA,C,4,4,23.3,2.3,3.8,.600,0.0,0.0,,2.3,3.8,.600,.600,1.3,1.8,.714,2.0,2.5,4.5,0.5,0.5,2.5,0.8,3.8,5.8
westma01 1992,Mark West,1984,2000,6-10,230,31,PHO,NBA,C,8,0,12.0,1.8,2.4,.737,0.0,0.0,,1.8,2.4,.737,.737,0.5,1.0,.500,1.0,1.1,2.1,0.3,0.3,0.5,0.3,2.6,4.0
westma01 1993,Mark West,1984,2000,6-10,230,32,PHO,NBA,C,24,24,19.5,1.8,3.3,.544,0.0,0.0,,1.8,3.3,.544,.544,1.2,1.9,.609,1.5,2.6,4.1,0.5,0.2,1.4,0.7,2.9,4.8
westma01 1994,Mark West,1984,2000,6-10,230,33,PHO,NBA,C,7,6,9.9,0.7,2.1,.333,0.0,0.0,,0.7,2.1,.333,.333,1.0,1.4,.700,1.6,1.3,2.9,0.0,0.0,1.0,0.6,2.7,2.4
westma01 1996,Mark West,1984,2000,6-10,230,35,DET,NBA,C,3,3,26.0,3.7,7.0,.524,0.0,0.0,,3.7,7.0,.524,.524,2.0,4.3,.462,2.0,3.3,5.3,0.3,0.3,0.3,0.7,4.0,9.3
westma01 1998,Mark West,1984,2000,6-10,230,37,IND,NBA,C,4,0,2.8,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.3,0.8,.333,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.8
westma01 1999,Mark West,1984,2000,6-10,230,38,ATL,NBA,C,9,0,7.6,0.3,1.1,.300,0.0,0.0,,0.3,1.1,.300,.300,0.2,0.4,.500,0.3,0.7,1.0,0.2,0.2,0.1,0.7,1.6,0.9
westbru01 2010,Russell Westbrook,2009,2022,6-3,200,21,OKC,NBA,PG,6,6,35.3,7.2,15.2,.473,0.8,2.0,.417,6.3,13.2,.481,.500,5.3,6.3,.842,1.7,4.3,6.0,6.0,1.7,0.2,2.3,2.2,20.5
westbru01 2011,Russell Westbrook,2009,2022,6-3,200,22,OKC,NBA,PG,17,17,37.5,7.9,20.2,.394,0.8,2.8,.292,7.1,17.4,.410,.414,7.1,8.4,.852,2.1,3.2,5.4,6.4,1.4,0.4,4.6,3.3,23.8
westbru01 2012,Russell Westbrook,2009,2022,6-3,200,23,OKC,NBA,PG,20,20,38.4,8.9,20.4,.435,0.9,3.3,.277,8.0,17.1,.465,.457,4.5,5.6,.802,1.1,4.4,5.5,5.9,1.6,0.4,2.3,2.5,23.1
westbru01 2013,Russell Westbrook,2009,2022,6-3,200,24,OKC,NBA,PG,2,2,34.0,8.5,20.5,.415,1.0,4.5,.222,7.5,16.0,.469,.439,6.0,7.0,.857,0.5,6.0,6.5,7.0,3.0,0.0,4.0,2.5,24.0
westbru01 2014,Russell Westbrook,2009,2022,6-3,200,25,OKC,NBA,PG,19,19,38.7,8.8,20.9,.420,1.5,5.3,.280,7.3,15.7,.466,.455,7.6,8.6,.884,2.4,4.9,7.3,8.1,2.2,0.3,4.4,3.3,26.7
westbru01 2016,Russell Westbrook,2009,2022,6-3,200,27,OKC,NBA,PG,18,18,37.4,8.8,21.8,.405,1.9,5.8,.324,6.9,16.0,.434,.448,6.4,7.8,.829,2.3,4.6,6.9,11.0,2.6,0.1,4.3,2.4,26.0
westbru01 2017,Russell Westbrook,2009,2022,6-3,200,28,OKC,NBA,PG,5,5,38.8,11.8,30.4,.388,2.6,9.8,.265,9.2,20.6,.447,.431,11.2,14.0,.800,1.8,9.8,11.6,10.8,2.4,0.4,6.0,3.2,37.4
westbru01 2018,Russell Westbrook,2009,2022,6-3,200,29,OKC,NBA,PG,6,6,39.2,10.7,26.8,.398,2.5,7.0,.357,8.2,19.8,.412,.444,5.5,6.7,.825,1.8,10.2,12.0,7.5,1.5,0.0,5.2,3.5,29.3
westbru01 2019,Russell Westbrook,2009,2022,6-3,200,30,OKC,NBA,PG,5,5,39.4,8.0,22.2,.360,2.2,6.8,.324,5.8,15.4,.377,.410,4.6,5.2,.885,1.4,7.4,8.8,10.6,1.0,0.6,4.6,3.8,22.8
westbru01 2020,Russell Westbrook,2009,2022,6-3,200,31,HOU,NBA,PG,8,8,32.8,7.4,17.5,.421,1.0,4.1,.242,6.4,13.4,.477,.450,2.1,4.0,.531,1.4,5.6,7.0,4.6,1.5,0.3,3.8,2.9,17.9
westbru01 2021,Russell Westbrook,2009,2022,6-3,200,32,WAS,NBA,PG,5,5,37.2,5.6,16.8,.333,1.0,4.0,.250,4.6,12.8,.359,.363,6.8,8.6,.791,2.8,7.6,10.4,11.8,0.4,0.2,4.2,3.4,19.0
whatlen01 1987,Ennis Whatley,1984,1997,6-3,177,24,WSB,NBA,PG,2,2,16.0,1.5,6.0,.250,0.0,0.0,,1.5,6.0,.250,.250,0.0,0.0,,0.5,1.0,1.5,3.0,1.0,0.0,4.0,1.0,3.0
whatlen01 1992,Ennis Whatley,1984,1997,6-3,177,29,POR,NBA,PG,15,0,6.4,0.4,1.3,.300,0.0,0.1,.000,0.4,1.3,.316,.300,0.3,0.3,1.000,0.0,0.7,0.7,0.9,0.5,0.0,0.3,0.7,1.1
whatlen01 1994,Ennis Whatley,1984,1997,6-3,177,31,ATL,NBA,PG,11,0,10.3,0.8,2.5,.321,0.0,0.0,,0.8,2.5,.321,.321,0.5,0.7,.750,0.3,1.0,1.3,1.1,0.6,0.0,0.8,1.6,2.2
whatlen01 1995,Ennis Whatley,1984,1997,6-3,177,32,ATL,NBA,PG,3,0,6.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.7,0.0
wetzejo01 1973,John Wetzel,1968,1976,6-5,190,28,ATL,NBA,SG,3,,11.0,1.0,2.3,.429,,,,,,,,0.0,0.0,,,,0.7,1.3,,,,2.0,2.0
wetzejo01 1976,John Wetzel,1968,1976,6-5,190,31,PHO,NBA,SG,2,,2.5,0.0,0.0,,,,,,,,,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
wheatde01 1998,DeJuan Wheat,1998,1999,6-0,165,24,MIN,NBA,PG,1,0,3.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
westppa01 1973,Paul Westphal,1973,1984,6-4,195,22,BOS,NBA,SG,11,,9.9,1.7,3.5,.487,,,,1.7,3.5,.487,.487,0.5,0.6,.714,,,0.6,0.8,,,,2.2,3.9
westppa01 1974,Paul Westphal,1973,1984,6-4,195,23,BOS,NBA,SG,18,,13.4,2.6,5.6,.460,,,,2.6,5.6,.460,.460,0.6,0.8,.733,0.3,0.8,1.2,1.7,0.4,0.1,,2.1,5.7
westppa01 1975,Paul Westphal,1973,1984,6-4,195,24,BOS,NBA,SG,11,,16.6,3.5,7.4,.469,,,,3.5,7.4,.469,.469,1.1,1.6,.667,0.5,0.7,1.2,2.9,0.5,0.2,,1.9,8.0
westppa01 1976,Paul Westphal,1973,1984,6-4,195,25,PHO,NBA,PG,19,,36.1,8.7,17.0,.511,,,,8.7,17.0,.511,.511,3.7,4.9,.763,0.7,1.7,2.5,5.1,1.8,0.5,,3.2,21.1
westppa01 1978,Paul Westphal,1973,1984,6-4,195,27,PHO,NBA,SG,2,,33.0,11.0,23.5,.468,,,,11.0,23.5,.468,.468,4.0,4.5,.889,1.5,1.5,3.0,9.5,0.5,0.0,2.5,2.0,26.0
westppa01 1979,Paul Westphal,1973,1984,6-4,195,28,PHO,NBA,SG,15,,35.6,9.5,19.1,.495,,,,9.5,19.1,.495,.495,3.5,4.4,.788,0.5,1.7,2.2,4.3,1.0,0.3,2.5,2.5,22.4
westppa01 1980,Paul Westphal,1973,1984,6-4,195,29,PHO,NBA,SG,8,,31.6,8.6,17.8,.486,0.1,1.5,.083,8.5,16.3,.523,.489,3.5,4.0,.875,0.3,1.0,1.3,3.9,1.4,0.4,1.6,2.5,20.9
westppa01 1983,Paul Westphal,1973,1984,6-4,195,32,NYK,NBA,SG,6,,26.0,3.7,8.3,.440,0.5,1.3,.375,3.2,7.0,.452,.470,1.7,2.2,.769,0.0,1.3,1.3,5.7,0.3,0.3,1.5,2.2,9.5
westppa01 1984,Paul Westphal,1973,1984,6-4,195,33,PHO,NBA,SG,17,,13.1,1.8,4.7,.375,0.1,0.5,.222,1.6,4.2,.394,.388,1.6,1.9,.875,0.2,0.3,0.5,2.2,0.7,0.0,1.4,1.4,5.3
whitede01 2018,Derrick White,2018,2022,6-4,190,23,SAS,NBA,PG,3,0,6.0,1.0,2.0,.500,0.3,0.7,.500,0.7,1.3,.500,.583,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,2.3
whitede01 2019,Derrick White,2018,2022,6-4,190,24,SAS,NBA,PG,7,7,27.3,5.9,10.7,.547,0.7,2.4,.294,5.1,8.3,.621,.580,2.7,3.7,.731,0.1,2.9,3.0,3.0,0.7,0.7,2.1,2.4,15.1
whitedj01 2014,D.J. White,2009,2014,6-9,251,27,CHA,NBA,PF,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
whiteja02 2009,James White,2007,2013,6-7,200,26,HOU,NBA,SF,5,0,2.4,0.6,1.8,.333,0.2,0.4,.500,0.4,1.4,.286,.389,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.4
whiteja02 2013,James White,2007,2013,6-7,200,30,NYK,NBA,SF,4,0,2.3,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.3,1.0
whitejo01 1972,Jo Jo White,1970,1981,6-3,190,25,BOS,NBA,PG,11,,39.3,9.9,20.0,.495,,,,9.9,20.0,.495,.495,3.6,4.4,.833,,,5.4,5.3,,,,2.8,23.5
whitejo01 1973,Jo Jo White,1970,1981,6-3,190,26,BOS,NBA,PG,13,,44.8,10.4,23.1,.450,,,,10.4,23.1,.450,.450,3.8,4.2,.907,,,4.2,6.4,,,,3.4,24.5
